time,emotion
2025-08-13 18:38:24,Angry
2025-08-13 18:38:24,Sad
2025-08-13 18:38:24,Angry
2025-08-13 18:38:24,Angry
2025-08-13 18:38:24,Angry
2025-08-13 18:38:24,Angry
2025-08-13 18:38:24,Angry
2025-08-13 18:38:24,Angry
2025-08-13 18:38:24,Angry
2025-08-13 18:38:24,Angry
2025-08-13 18:38:24,Angry
2025-08-13 18:38:24,Sad
2025-08-13 18:38:24,Angry
2025-08-13 18:38:25,Angry
2025-08-13 18:38:25,Angry
2025-08-13 18:38:25,Angry
2025-08-13 18:38:25,Angry
2025-08-13 18:38:25,Angry
2025-08-13 18:38:25,Sad
2025-08-13 18:38:25,Sad
2025-08-13 18:38:25,Sad
2025-08-13 18:38:25,Sad
2025-08-13 18:38:25,Sad
2025-08-13 18:38:25,Sad
2025-08-13 18:38:25,Sad
2025-08-13 18:38:25,Angry
2025-08-13 18:38:26,Angry
2025-08-13 18:38:26,Angry
2025-08-13 18:38:26,Angry
2025-08-13 18:38:26,Angry
2025-08-13 18:38:26,Angry
2025-08-13 18:38:26,Fear
2025-08-13 18:38:26,Angry
2025-08-13 18:38:26,Angry
